ok  	github.com/domainry/domainry-connectors/providers/iot_telemetry/aws_iot	3.538s
ok  	github.com/domainry/domainry-connectors/providers/iot_telemetry/datadog_metrics	3.469s
ok  	github.com/domainry/domainry-connectors/providers/iot_telemetry/mqtt	3.512s
ok  	github.com/domainry/domainry-connectors/providers/knowledge_base/http_api	3.584s
ok  	github.com/domainry/domainry-connectors/providers/kyc_risk/persona	3.458s
ok  	github.com/domainry/domainry-connectors/providers/lead_source/tally	3.474s
ok  	github.com/domainry/domainry-connectors/providers/lms/moodle	3.471s
ok  	github.com/domainry/domainry-connectors/providers/lms/talentlms	3.467s
ok  	github.com/domainry/domainry-connectors/providers/logistics/authorized_carrier_gateway	3.424s
ok  	github.com/domainry/domainry-connectors/providers/logistics/dhl	3.402s
ok  	github.com/domainry/domainry-connectors/providers/logistics/fedex	3.384s
ok  	github.com/domainry/domainry-connectors/providers/logistics/freightos	3.442s
ok  	github.com/domainry/domainry-connectors/providers/logistics/sf_express	3.392s
ok  	github.com/domainry/domainry-connectors/providers/logistics/shopify_fulfillment	3.215s
ok  	github.com/domainry/domainry-connectors/providers/logistics/ups	3.356s
ok  	github.com/domainry/domainry-connectors/providers/map_address/nominatim	3.370s
ok  	github.com/domainry/domainry-connectors/providers/marketplace/etsy	3.295s
ok  	github.com/domainry/domainry-connectors/providers/mcp_tool/mcp	3.281s
ok  	github.com/domainry/domainry-connectors/providers/microsoft_365/microsoft	3.342s
ok  	github.com/domainry/domainry-connectors/providers/notification/web_push	3.271s
ok  	github.com/domainry/domainry-connectors/providers/observability_compliance/prometheus	3.406s
ok  	github.com/domainry/domainry-connectors/providers/openai/openai	3.375s
ok  	github.com/domainry/domainry-connectors/providers/payment/alipay	3.632s
ok  	github.com/domainry/domainry-connectors/providers/payment/stripe	3.352s
ok  	github.com/domainry/domainry-connectors/providers/payment/wechat_pay	3.503s
ok  	github.com/domainry/domainry-connectors/providers/product_event/posthog	3.442s
ok  	github.com/domainry/domainry-connectors/providers/saas_tool/composio	3.405s
ok  	github.com/domainry/domainry-connectors/providers/social_message/facebook_messenger	3.444s
ok  	github.com/domainry/domainry-connectors/providers/sso/oidc	3.397s
ok  	github.com/domainry/domainry-connectors/providers/support/zendesk	3.404s
ok  	github.com/domainry/domainry-connectors/providers/tariff_classification/brazil_portal_unico_classif	3.480s
ok  	github.com/domainry/domainry-connectors/providers/tariff_classification/china_hs_bianma	3.460s
ok  	github.com/domainry/domainry-connectors/providers/telephony/twilio	3.196s
ok  	github.com/domainry/domainry-connectors/providers/trade_statistics/comex_stat	3.448s
ok  	github.com/domainry/domainry-connectors/providers/weather/open_meteo	3.644s
ok  	github.com/domainry/domainry-connectors/providers/webhook/http	3.761s
ok  	github.com/domainry/domainry-connectors/providers/website_form/tally	3.759s
ok  	github.com/domainry/domainry-connectors/providers/whatsapp/meta_cloud_api	4.008s
?   	github.com/domainry/domainry-connectors/scripts/generate_catalog	[no test files]
ok  	github.com/domainry/domainry-connectors/scripts/generate_provider_registry	(cached)
?   	github.com/domainry/domainry-connectors/scripts/generate_verification_manifests	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_alipay_sandbox_live	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_composio_connection	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_provider_release	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_stripe_japan_live	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_tenant_read_probe	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_wechat_pay_controlled_live	[no test files]
