ok  	github.com/domainry/domainry-connectors/providers/iot_telemetry/mqtt	3.947s
ok  	github.com/domainry/domainry-connectors/providers/knowledge_base/http_api	4.000s
ok  	github.com/domainry/domainry-connectors/providers/kyc_risk/persona	3.871s
ok  	github.com/domainry/domainry-connectors/providers/lead_source/tally	3.874s
ok  	github.com/domainry/domainry-connectors/providers/lms/moodle	3.820s
ok  	github.com/domainry/domainry-connectors/providers/lms/talentlms	3.496s
ok  	github.com/domainry/domainry-connectors/providers/logistics/authorized_carrier_gateway	3.536s
ok  	github.com/domainry/domainry-connectors/providers/logistics/dhl	3.450s
ok  	github.com/domainry/domainry-connectors/providers/logistics/fedex	3.470s
ok  	github.com/domainry/domainry-connectors/providers/logistics/freightos	3.465s
ok  	github.com/domainry/domainry-connectors/providers/logistics/sf_express	3.458s
ok  	github.com/domainry/domainry-connectors/providers/logistics/shopify_fulfillment	3.301s
ok  	github.com/domainry/domainry-connectors/providers/logistics/ups	3.464s
ok  	github.com/domainry/domainry-connectors/providers/map_address/nominatim	3.474s
ok  	github.com/domainry/domainry-connectors/providers/marketplace/etsy	3.458s
ok  	github.com/domainry/domainry-connectors/providers/mcp_tool/mcp	3.456s
ok  	github.com/domainry/domainry-connectors/providers/microsoft_365/microsoft	3.530s
ok  	github.com/domainry/domainry-connectors/providers/notification/web_push	3.401s
ok  	github.com/domainry/domainry-connectors/providers/observability_compliance/prometheus	3.470s
ok  	github.com/domainry/domainry-connectors/providers/openai/openai	3.448s
ok  	github.com/domainry/domainry-connectors/providers/payment/alipay	3.543s
ok  	github.com/domainry/domainry-connectors/providers/payment/stripe	3.430s
ok  	github.com/domainry/domainry-connectors/providers/payment/wechat_pay	3.672s
ok  	github.com/domainry/domainry-connectors/providers/product_event/posthog	3.524s
ok  	github.com/domainry/domainry-connectors/providers/saas_tool/composio	3.476s
ok  	github.com/domainry/domainry-connectors/providers/social_message/facebook_messenger	3.543s
ok  	github.com/domainry/domainry-connectors/providers/sso/oidc	3.532s
ok  	github.com/domainry/domainry-connectors/providers/support/zendesk	3.532s
ok  	github.com/domainry/domainry-connectors/providers/tariff_classification/brazil_portal_unico_classif	3.533s
ok  	github.com/domainry/domainry-connectors/providers/tariff_classification/china_hs_bianma	3.528s
ok  	github.com/domainry/domainry-connectors/providers/telephony/twilio	3.419s
ok  	github.com/domainry/domainry-connectors/providers/trade_statistics/comex_stat	3.546s
ok  	github.com/domainry/domainry-connectors/providers/weather/open_meteo	3.297s
ok  	github.com/domainry/domainry-connectors/providers/webhook/http	3.534s
ok  	github.com/domainry/domainry-connectors/providers/website_form/tally	3.502s
ok  	github.com/domainry/domainry-connectors/providers/whatsapp/meta_cloud_api	3.586s
?   	github.com/domainry/domainry-connectors/scripts/generate_catalog	[no test files]
ok  	github.com/domainry/domainry-connectors/scripts/generate_provider_registry	2.735s
?   	github.com/domainry/domainry-connectors/scripts/generate_verification_manifests	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_alipay_sandbox_live	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_composio_connection	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_provider_release	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_stripe_japan_live	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_tenant_read_probe	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_wechat_pay_controlled_live	[no test files]
