ok  	github.com/domainry/domainry-connectors/providers/iot_telemetry/mqtt	3.733s
ok  	github.com/domainry/domainry-connectors/providers/knowledge_base/http_api	3.840s
ok  	github.com/domainry/domainry-connectors/providers/kyc_risk/persona	3.734s
ok  	github.com/domainry/domainry-connectors/providers/lead_source/tally	3.728s
ok  	github.com/domainry/domainry-connectors/providers/lms/moodle	3.784s
ok  	github.com/domainry/domainry-connectors/providers/lms/talentlms	3.759s
ok  	github.com/domainry/domainry-connectors/providers/logistics/authorized_carrier_gateway	3.748s
ok  	github.com/domainry/domainry-connectors/providers/logistics/dhl	3.802s
ok  	github.com/domainry/domainry-connectors/providers/logistics/fedex	3.861s
ok  	github.com/domainry/domainry-connectors/providers/logistics/freightos	3.859s
ok  	github.com/domainry/domainry-connectors/providers/logistics/sf_express	3.904s
ok  	github.com/domainry/domainry-connectors/providers/logistics/shopify_fulfillment	3.746s
ok  	github.com/domainry/domainry-connectors/providers/logistics/ups	3.858s
ok  	github.com/domainry/domainry-connectors/providers/map_address/nominatim	3.849s
ok  	github.com/domainry/domainry-connectors/providers/marketplace/etsy	3.863s
ok  	github.com/domainry/domainry-connectors/providers/mcp_tool/mcp	3.844s
ok  	github.com/domainry/domainry-connectors/providers/microsoft_365/microsoft	3.973s
ok  	github.com/domainry/domainry-connectors/providers/notification/web_push	3.809s
ok  	github.com/domainry/domainry-connectors/providers/observability_compliance/prometheus	3.941s
ok  	github.com/domainry/domainry-connectors/providers/openai/openai	3.975s
ok  	github.com/domainry/domainry-connectors/providers/payment/alipay	4.129s
ok  	github.com/domainry/domainry-connectors/providers/payment/stripe	4.032s
ok  	github.com/domainry/domainry-connectors/providers/payment/wechat_pay	4.196s
ok  	github.com/domainry/domainry-connectors/providers/product_event/posthog	4.028s
ok  	github.com/domainry/domainry-connectors/providers/saas_tool/composio	4.013s
ok  	github.com/domainry/domainry-connectors/providers/social_message/facebook_messenger	4.211s
ok  	github.com/domainry/domainry-connectors/providers/sso/oidc	4.187s
ok  	github.com/domainry/domainry-connectors/providers/support/zendesk	4.187s
ok  	github.com/domainry/domainry-connectors/providers/tariff_classification/brazil_portal_unico_classif	4.057s
ok  	github.com/domainry/domainry-connectors/providers/tariff_classification/china_hs_bianma	4.023s
ok  	github.com/domainry/domainry-connectors/providers/telephony/twilio	3.848s
ok  	github.com/domainry/domainry-connectors/providers/trade_statistics/comex_stat	3.952s
ok  	github.com/domainry/domainry-connectors/providers/weather/open_meteo	3.763s
ok  	github.com/domainry/domainry-connectors/providers/webhook/http	3.949s
ok  	github.com/domainry/domainry-connectors/providers/website_form/tally	3.982s
ok  	github.com/domainry/domainry-connectors/providers/whatsapp/meta_cloud_api	3.835s
?   	github.com/domainry/domainry-connectors/scripts/generate_catalog	[no test files]
ok  	github.com/domainry/domainry-connectors/scripts/generate_provider_registry	(cached)
?   	github.com/domainry/domainry-connectors/scripts/generate_verification_manifests	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_alipay_sandbox_live	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_composio_connection	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_provider_release	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_stripe_japan_live	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_tenant_read_probe	[no test files]
?   	github.com/domainry/domainry-connectors/scripts/verify_wechat_pay_controlled_live	[no test files]
