/tmp/c05-schema-projection-singleflight-final-race.test: stat /tmp/c05-schema-projection-singleflight-final-race.test: no such file or directory
Fetched 1 source profiles out of 2
Local symbolization failed for integrationtest.test: open /private/var/folders/5w/z9d657ts32zg837n0bvff0yh0000gn/T/go-build26273901/b001/integrationtest.test: no such file or directory
Some binary filenames not available. Symbolization may be incomplete.
Try setting PPROF_BINARY_PATH to the search path for local binaries.
File: integrationtest.test
Type: cpu
Time: 2026-09-14 20:31:18 CST
Duration: 292.45s, Total samples = 464.08s (158.69%)
Showing nodes accounting for 351.53s, 75.75% of 464.08s total
Dropped 2485 nodes (cum <= 2.32s)
Showing top 200 nodes out of 408
      flat  flat%   sum%        cum   cum%
     0.01s 0.0022% 40.61%     46.15s  9.94%  database/sql.(*DB).QueryContext
         0     0% 40.61%     46.14s  9.94%  database/sql.(*DB).QueryContext.func1
         0     0% 40.61%     46.14s  9.94%  database/sql.(*DB).query
         0     0% 40.61%     44.89s  9.67%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withActionAuthorization.func10.1
     0.01s 0.0022% 40.61%     44.47s  9.58%  modernc.org/sqlite.(*stmt).query
         0     0% 40.61%     42.51s  9.16%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withActionAuthorization.func10
     0.02s 0.0043% 40.62%     42.09s  9.07%  database/sql.(*Rows).Next
     0.02s 0.0043% 40.62%     41.33s  8.91%  database/sql.(*Rows).Next.func1
     0.05s 0.011% 40.63%     41.30s  8.90%  database/sql.(*Rows).nextLocked
     0.07s 0.015% 40.65%     41.22s  8.88%  modernc.org/sqlite.(*rows).Next
     0.02s 0.0043% 40.65%     39.32s  8.47%  modernc.org/sqlite/lib._sqlite3Select
         0     0% 40.65%     39.29s  8.47%  github.com/domainry/domainry-agent-sdk.AuthorizeSharedBusinessResultRead
         0     0% 40.65%     39.12s  8.43%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAuth.func11.1
         0     0% 40.65%     37.73s  8.13%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).transaction
         0     0% 40.65%     37.71s  8.13%  github.com/domainry/domainry-identity-sdk/httpmiddleware.(*Middleware).Authenticate.func1
    18.59s  4.01% 44.66%     37.59s  8.10%  runtime.checkptrBase
         0     0% 44.66%     36.80s  7.93%  modernc.org/sqlite/lib.Xsqlite3_prepare_v2 (inline)
     0.01s 0.0022% 44.66%     36.70s  7.91%  modernc.org/sqlite.newStmt
         0     0% 44.66%     36.57s  7.88%  modernc.org/sqlite.(*conn).prepareV2
         0     0% 44.66%     36.45s  7.85%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeSharedBusinessResultRead
         0     0% 44.66%     36.08s  7.77%  github.com/domainry/domainry-identity-sdk/httpmiddleware.(*Middleware).RequirePasswordChanged.func1
     0.02s 0.0043% 44.66%     36.05s  7.77%  modernc.org/sqlite/lib._sqlite3VdbeHalt
         0     0% 44.66%     35.79s  7.71%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).Claim
         0     0% 44.66%     35.59s  7.67%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).delegationExecutionResultRecord
         0     0% 44.66%     35.56s  7.66%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).readDelegationExecutionResult
         0     0% 44.66%     35.54s  7.66%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).ReadConversationDelegationExecutionResult
         0     0% 44.66%     35.42s  7.63%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withAuth.func11
     0.01s 0.0022% 44.66%     35.37s  7.62%  runtime.ready
         0     0% 44.66%     34.93s  7.53%  database/sql.(*Tx).QueryContext
         0     0% 44.66%     33.84s  7.29%  github.com/domainry/domainry-agent/internal/infrastructure/persistence/database/agent.(*ConversationStore).Claim.func1
         0     0% 44.66%     33.50s  7.22%  modernc.org/sqlite/lib._vdbeCommit
         0     0% 44.66%     33.24s  7.16%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withRuntimeAuthoringScenarioEvidence.func12
     2.72s  0.59% 45.25%     32.81s  7.07%  runtime.checkptrAlignment
         0     0% 45.25%     32.76s  7.06%  modernc.org/sqlite/lib._btreeEndTransaction
         0     0% 45.25%     32.74s  7.05%  modernc.org/sqlite/lib._unlockBtreeIfUnused
         0     0% 45.25%     32.73s  7.05%  modernc.org/sqlite/lib._releasePageOne (inline)
         0     0% 45.25%     32.73s  7.05%  modernc.org/sqlite/lib._sqlite3BtreeCommitPhaseTwo
         0     0% 45.25%     32.73s  7.05%  modernc.org/sqlite/lib._sqlite3PagerUnrefPageOne
         0     0% 45.25%     32.71s  7.05%  modernc.org/sqlite/lib._pagerUnlockAndRollback
         0     0% 45.25%     32.70s  7.05%  modernc.org/sqlite/lib._pagerUnlockIfUnused (inline)
     0.01s 0.0022% 45.25%     32.69s  7.04%  modernc.org/sqlite/lib._pager_unlock
         0     0% 45.25%     32.63s  7.03%  modernc.org/sqlite/lib._sqlite3WalEndReadTransaction
     0.01s 0.0022% 45.26%     32.62s  7.03%  modernc.org/sqlite/lib._walUnlockShared
         0     0% 45.26%     32.10s  6.92%  runtime.closechan.goready.func1
    31.49s  6.79% 52.04%     31.49s  6.79%  __tsan::MemoryRangeSet
         0     0% 52.04%     31.37s  6.76%  github.com/domainry/domainry-runtime/runtime/transport/http.CORSMiddleware.func1
     0.01s 0.0022% 52.04%     30.77s  6.63%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityApplicationService).ResolvePrincipalForRole
     0.01s 0.0022% 52.04%     30.75s  6.63%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ResolvePrincipalForRole
         0     0% 52.04%     30.74s  6.62%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).BuildPrincipalForRole (inline)
         0     0% 52.04%     29.86s  6.43%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ResolvePrincipalContext
     3.69s   0.8% 52.84%     29.12s  6.27%  runtime.checkptrStraddles
         0     0% 52.84%     28.71s  6.19%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withRecovery.func13
         0     0% 52.84%     27.69s  5.97%  testing.tRunner
    27.53s  5.93% 58.77%     27.53s  5.93%  runtime.usleep
         0     0% 58.77%     26.71s  5.76%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).collaborationAuthorization
         0     0% 58.77%     26.69s  5.75%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeConversationCollaboration
         0     0% 58.77%     25.92s  5.59%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityEffectiveAccessApplicationService).snapshotFromPrincipalContext
         0     0% 58.77%     25.90s  5.58%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).authorizeCollaboration
     0.19s 0.041% 58.81%     25.72s  5.54%  runtime.stealWork
         0     0% 58.81%     25.65s  5.53%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).Routes.(*HTTPRouter).withMetrics.func14
     0.01s 0.0022% 58.82%     25.36s  5.46%  runtime.runqgrab
         0     0% 58.82%     25.36s  5.46%  runtime.runqsteal
         0     0% 58.82%     24.01s  5.17%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).execute
         0     0% 58.82%     23.22s  5.00%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationDelegationContent
         0     0% 58.82%     23.20s  5.00%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).projectConversationDelegation
         0     0% 58.82%     22.04s  4.75%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).generateConversationExecution
